29
AAA43693                	0           	0.24680947  	0.19483962  	0.24223708  	0.18918108  	0.18030049  	0.19039501  	0.22481122  	0.17874823  	0.1843422   	0.17558705  	0.2146506   	0.1589958   	0.17557018  	0.21427093  	0.19039501  	0.18840117  	0.18193939  	0.19051146  	0.17151242  	0.18594166  	0.18453271  	0.167315    	0.17983185  	0.17793768  	0.1904425   	0.18005918  	0.17537023  	0.18030807  	
AAA43695                	0.24680947  	0           	0.17291373  	0.08623111  	0.14544059  	0.14389813  	0.17114693  	0.07095344  	0.15454574  	0.14389813  	0.16980038  	0.07117235  	0.15839277  	0.15167728  	0.07106175  	0.17114693  	0.13987608  	0.13817038  	0.16631573  	0.14382446  	0.16691272  	0.14404836  	0.14759376  	0.14028101  	0.16484126  	0.17119488  	0.13185545  	0.1650187   	0.13997892  	
ABL77316                	0.19483962  	0.17291373  	0           	0.14820446  	0.11569535  	0.10721152  	0.01777082  	0.14382403  	0.05903337  	0.10294586  	0.04016229  	0.13493872  	0.07898342  	0.05954634  	0.13471926  	0.01777082  	0.09912891  	0.1085039   	0.01064085  	0.09978908  	0.0286373   	0.10732453  	0.05968344  	0.10582508  	0.05485077  	0.0213248   	0.10337126  	0.05490787  	0.10338501  	
AAA43720                	0.24223708  	0.08623111  	0.14820446  	0           	0.13122201  	0.13354726  	0.14402114  	0.02168845  	0.13020646  	0.13354726  	0.13879038  	0.02910171  	0.12715394  	0.13553223  	0.02905861  	0.14402114  	0.12222721  	0.12402508  	0.1394316   	0.13395856  	0.13992435  	0.12571191  	0.13586646  	0.12207381  	0.13411694  	0.1440672   	0.1222381   	0.13426528  	0.12970611  	
AAA43754                	0.18918108  	0.14544059  	0.11569535  	0.13122201  	0           	0.07035488  	0.11014569  	0.11534533  	0.1066967   	0.07035488  	0.10528721  	0.10677798  	0.09037392  	0.09483779  	0.10660738  	0.11014569  	0.07017523  	0.00718271  	0.11429206  	0.06264227  	0.11017863  	0.06285483  	0.09506472  	0.07036767  	0.08916392  	0.1024242   	0.06268005  	0.08925887  	0.06664273  	
AAA43764                	0.18030049  	0.14389813  	0.10721152  	0.13354726  	0.07035488  	0           	0.1059086   	0.11782623  	0.10263447  	0.00710752  	0.10136554  	0.10932803  	0.085581    	0.09943472  	0.10915504  	0.1059086   	0.03601337  	0.06320376  	0.10595488  	0.0360759   	0.10189126  	0.0071151   	0.09967541  	0.03240059  	0.08940466  	0.09822418  	0.02876225  	0.08950002  	0.0035534   	
AER28362                	0.19039501  	0.17114693  	0.01777082  	0.14402114  	0.11014569  	0.1059086   	0           	0.13966259  	0.063087    	0.10168891  	0.03645108  	0.13083079  	0.07508915  	0.06363368  	0.13061872  	0.00706873  	0.0977897   	0.10299096  	0.01419619  	0.09843852  	0.02501428  	0.1060193   	0.06378439  	0.10185935  	0.047341    	0.01060296  	0.10199937  	0.04739003  	0.10211867  	
AAA43721                	0.22481122  	0.07095344  	0.14382403  	0.02168845  	0.11534533  	0.11782623  	0.13966259  	0           	0.13046732  	0.11782623  	0.13447913  	0.01449431  	0.11922139  	0.12754448  	0.01447295  	0.13561278  	0.1143696   	0.10810885  	0.13510717  	0.11819332  	0.13558387  	0.11004688  	0.12785834  	0.10640397  	0.12984448  	0.13970817  	0.10655056  	0.12998755  	0.11400363  	
ABN50696                	0.17874823  	0.15454574  	0.05903337  	0.13020646  	0.1066967   	0.10263447  	0.063087    	0.13046732  	0           	0.10263447  	0.06236009  	0.12177961  	0.07052196  	0.05152077  	0.12158431  	0.063087    	0.09095855  	0.09953455  	0.06310955  	0.09100301  	0.05913214  	0.10274245  	0.04409437  	0.09761352  	0.0658381   	0.06679008  	0.09883816  	0.06590691  	0.0988308   	
AAA43778                	0.1843422   	0.14389813  	0.10294586  	0.13354726  	0.07035488  	0.00710752  	0.10168891  	0.11782623  	0.10263447  	0           	0.09719237  	0.10932803  	0.085581    	0.09943472  	0.10915504  	0.10168891  	0.02870304  	0.06320376  	0.10173244  	0.0360759   	0.09769737  	0.0071151   	0.09967541  	0.03240059  	0.08164385  	0.09404265  	0.02876225  	0.08173049  	0.0035534   	
