22
tax1                    	0           	5           	3.1698935   	1.7460475   	1.3488577   	0.68086591  	0.56047948  	0.45402335  	1.1739758   	0.76255992  	1.3452455   	0.87122459  	1.1870062   	0.27968897  	0.93413014  	0.69140286  	0.79577649  	0.52606436  	0.627555    	0.36770126  	0.88916009  	0.54630535  	
tax2                    	5           	0           	0.47186053  	0.2886977   	0.44467951  	0.76459316  	0.87138979  	0.80098768  	0.4848515   	0.36266575  	0.43442487  	0.56669856  	0.46878564  	0.61702913  	0.50384247  	0.58118921  	0.52478375  	0.58789648  	0.55079331  	0.57445486  	0.4906021   	0.54883388  	
tax27                   	3.1698935   	0.47186053  	0           	0.42349747  	0.38449404  	0.47016747  	0.41368829  	0.49252771  	0.31840521  	0.51783943  	0.31776202  	0.30720642  	0.29603217  	0.50451937  	0.28044084  	0.37636843  	0.30818564  	0.39483367  	0.41814912  	0.3509449   	0.34096087  	0.39253963  	
tax4                    	1.7460475   	0.2886977   	0.42349747  	0           	0.45395849  	0.61691024  	0.71010468  	0.80240485  	0.47325418  	0.33658401  	0.42198771  	0.57113102  	0.38907963  	0.60452185  	0.48526493  	0.57114887  	0.42717094  	0.52321132  	0.43038378  	0.55246169  	0.45277733  	0.55133618  	
tax5                    	1.3488577   	0.44467951  	0.38449404  	0.45395849  	0           	0.68737632  	0.51838452  	0.54347734  	0.43469533  	0.46837893  	0.25611946  	0.50563524  	0.32943855  	0.52635515  	0.47668413  	0.48737359  	0.35835786  	0.53313393  	0.41640511  	0.46178907  	0.38246701  	0.61362118  	
tax9                    	0.68086591  	0.76459316  	0.47016747  	0.61691024  	0.68737632  	0           	0.53092837  	0.4389162   	0.44531298  	0.64704077  	0.47661859  	0.400423    	0.48546916  	0.4179728   	0.39808828  	0.44106512  	0.51657462  	0.41831279  	0.37833918  	0.4064132   	0.39256355  	0.34569874  	
tax6                    	0.56047948  	0.87138979  	0.41368829  	0.71010468  	0.51838452  	0.53092837  	0           	0.46595991  	0.53817511  	0.7279921   	0.50266316  	0.42881808  	0.46487107  	0.47355459  	0.52497541  	0.5470421   	0.32186761  	0.43820593  	0.41913197  	0.48849524  	0.45565162  	0.47839492  	
tax7                    	0.45402335  	0.80098768  	0.49252771  	0.80240485  	0.54347734  	0.4389162   	0.46595991  	0           	0.53883521  	0.50611982  	0.51415659  	0.39600292  	0.52459946  	0.2335386   	0.52725536  	0.51871843  	0.59019964  	0.40186051  	0.46719283  	0.25078525  	0.51851557  	0.41279933  	
tax16                   	1.1739758   	0.4848515   	0.31840521  	0.47325418  	0.43469533  	0.44531298  	0.53817511  	0.53883521  	0           	0.50281414  	0.32490665  	0.32024764  	0.35218483  	0.48256848  	0.28794565  	0.01398074  	0.44068708  	0.35491357  	0.45541973  	0.52111652  	0.37230715  	0.24169562  	
tax3                    	0.76255992  	0.36266575  	0.51783943  	0.33658401  	0.46837893  	0.64704077  	0.7279921   	0.50611982  	0.50281414  	0           	0.46316014  	0.47885831  	0.43844665  	0.55096534  	0.47276807  	0.49601163  	0.49809433  	0.52740456  	0.45115303  	0.47472658  	0.50889699  	0.49128033  	
tax15                   	1.3452455   	0.43442487  	0.31776202  	0.42198771  	0.25611946  	0.47661859  	0.50266316  	0.51415659  	0.32490665  	0.46316014  	0           	0.39973769  	0.30817439  	0.42216332  	0.34648233  	0.36687685  	0.35228001  	0.3761912   	0.36967885  	0.40446186  	0.27358687  	0.45132728  	
tax59                   	0.87122459  	0.56669856  	0.30720642  	0.57113102  	0.50563524  	0.400423    	0.42881808  	0.39600292  	0.32024764  	0.47885831  	0.39973769  	0           	0.40634086  	0.43881556  	0.30838641  	0.37299821  	0.36641476  	0.33383193  	0.40016859  	0.42555373  	0.34360249  	0.29810593  	
tax17                   	1.1870062   	0.46878564  	0.29603217  	0.38907963  	0.32943855  	0.48546916  	0.46487107  	0.52459946  	0.35218483  	0.43844665  	0.30817439  	0.40634086  	0           	0.50096038  	0.38609407  	0.41589753  	0.34267853  	0.43353367  	0.35889136  	0.48343826  	0.2823423   	0.50317773  	
tax13                   	0.27968897  	0.61702913  	0.50451937  	0.60452185  	0.52635515  	0.4179728   	0.47355459  	0.2335386   	0.48256848  	0.55096534  	0.42216332  	0.43881556  	0.50096038  	0           	0.44985649  	0.48958592  	0.44376654  	0.36005514  	0.36035246  	0.31437269  	0.44219281  	0.40284154  	
tax26                   	0.93413014  	0.50384247  	0.28044084  	0.48526493  	0.47668413  	0.39808828  	0.52497541  	0.52725536  	0.28794565  	0.47276807  	0.34648233  	0.30838641  	0.38609407  	0.44985649  	0           	0.33467356  	0.38529524  	0.40586141  	0.44709642  	0.4024437   	0.40185064  	0.23920694  	
tax8                    	0.69140286  	0.58118921  	0.37636843  	0.57114887  	0.48737359  	0.44106512  	0.5470421   	0.51871843  	0.01398074  	0.49601163  	0.36687685  	0.37299821  	0.41589753  	0.48958592  	0.33467356  	0           	0.52616957  	0.35734927  	0.4901021   	0.5106432   	0.39856876  	0.24822236  	
tax22                   	0.79577649  	0.52478375  	0.30818564  	0.42717094  	0.35835786  	0.51657462  	0.32186761  	0.59019964  	0.44068708  	0.49809433  	0.35228001  	0.36641476  	0.34267853  	0.44376654  	0.38529524  	0.52616957  	0           	0.45751461  	0.33495784  	0.3434518   	0.34838247  	0.48413025  	
tax25                   	0.52606436  	0.58789648  	0.39483367  	0.52321132  	0.53313393  	0.41831279  	0.43820593  	0.40186051  	0.35491357  	0.52740456  	0.3761912   	0.33383193  	0.43353367  	0.36005514  	0.40586141  	0.35734927  	0.45751461  	0           	0.35190939  	0.35992576  	0.38290632  	0.29666786  	
tax45                   	0.627555    	0.55079331  	0.41814912  	0.43038378  	0.41640511  	0.37833918  	0.41913197  	0.46719283  	0.45541973  	0.45115303  	0.36967885  	0.40016859  	0.35889136  	0.36035246  	0.44709642  	0.4901021   	0.33495784  	0.35190939  	0           	0.40720632  	0.39960389  	0.38643643  	
tax10                   	0.36770126  	0.57445486  	0.3509449   	0.55246169  	0.46178907  	0.4064132   	0.48849524  	0.25078525  	0.52111652  	0.47472658  	0.40446186  	0.42555373  	0.48343826  	0.31437269  	0.4024437   	0.5106432   	0.3434518   	0.35992576  	0.40720632  	0           	0.43835464  	0.40737105  	
tax12                   	0.88916009  	0.4906021   	0.34096087  	0.45277733  	0.38246701  	0.39256355  	0.45565162  	0.51851557  	0.37230715  	0.50889699  	0.27358687  	0.34360249  	0.2823423   	0.44219281  	0.40185064  	0.39856876  	0.34838247  	0.38290632  	0.39960389  	0.43835464  	0           	0.42258853  	
tax24                   	0.54630535  	0.54883388  	0.39253963  	0.55133618  	0.61362118  	0.34569874  	0.47839492  	0.41279933  	0.24169562  	0.49128033  	0.45132728  	0.29810593  	0.50317773  	0.40284154  	0.23920694  	0.24822236  	0.48413025  	0.29666786  	0.38643643  	0.40737105  	0.42258853  	0           	
