20
AAA43693                	0           	0.24680947  	0.19483962  	0.24223708  	0.18918108  	0.18030049  	0.19039501  	0.22481122  	0.17874823  	0.1843422   	0.17558705  	0.2146506   	0.1589958   	0.17557018  	0.21427093  	0.19039501  	0.18840117  	0.18193939  	0.19051146  	0.17151242  	
AAA43695                	0.24680947  	0           	0.17291373  	0.08623111  	0.14544059  	0.14389813  	0.17114693  	0.07095344  	0.15454574  	0.14389813  	0.16980038  	0.07117235  	0.15839277  	0.15167728  	0.07106175  	0.17114693  	0.13987608  	0.13817038  	0.16631573  	0.14382446  	
ABL77316                	0.19483962  	0.17291373  	0           	0.14820446  	0.11569535  	0.10721152  	0.01777082  	0.14382403  	0.05903337  	0.10294586  	0.04016229  	0.13493872  	0.07898342  	0.05954634  	0.13471926  	0.01777082  	0.09912891  	0.1085039   	0.01064085  	0.09978908  	
AAA43720                	0.24223708  	0.08623111  	0.14820446  	0           	0.13122201  	0.13354726  	0.14402114  	0.02168845  	0.13020646  	0.13354726  	0.13879038  	0.02910171  	0.12715394  	0.13553223  	0.02905861  	0.14402114  	0.12222721  	0.12402508  	0.1394316   	0.13395856  	
AAA43754                	0.18918108  	0.14544059  	0.11569535  	0.13122201  	0           	0.07035488  	0.11014569  	0.11534533  	0.1066967   	0.07035488  	0.10528721  	0.10677798  	0.09037392  	0.09483779  	0.10660738  	0.11014569  	0.07017523  	0.00718271  	0.11429206  	0.06264227  	
AAA43764                	0.18030049  	0.14389813  	0.10721152  	0.13354726  	0.07035488  	0           	0.1059086   	0.11782623  	0.10263447  	0.00710752  	0.10136554  	0.10932803  	0.085581    	0.09943472  	0.10915504  	0.1059086   	0.03601337  	0.06320376  	0.10595488  	0.0360759   	
AER28362                	0.19039501  	0.17114693  	0.01777082  	0.14402114  	0.11014569  	0.1059086   	0           	0.13966259  	0.063087    	0.10168891  	0.03645108  	0.13083079  	0.07508915  	0.06363368  	0.13061872  	0.00706873  	0.0977897   	0.10299096  	0.01419619  	0.09843852  	
AAA43721                	0.22481122  	0.07095344  	0.14382403  	0.02168845  	0.11534533  	0.11782623  	0.13966259  	0           	0.13046732  	0.11782623  	0.13447913  	0.01449431  	0.11922139  	0.12754448  	0.01447295  	0.13561278  	0.1143696   	0.10810885  	0.13510717  	0.11819332  	
ABN50696                	0.17874823  	0.15454574  	0.05903337  	0.13020646  	0.1066967   	0.10263447  	0.063087    	0.13046732  	0           	0.10263447  	0.06236009  	0.12177961  	0.07052196  	0.05152077  	0.12158431  	0.063087    	0.09095855  	0.09953455  	0.06310955  	0.09100301  	
AAA43778                	0.1843422   	0.14389813  	0.10294586  	0.13354726  	0.07035488  	0.00710752  	0.10168891  	0.11782623  	0.10263447  	0           	0.09719237  	0.10932803  	0.085581    	0.09943472  	0.10915504  	0.10168891  	0.02870304  	0.06320376  	0.10173244  	0.0360759   	
ABL77118                	0.17558705  	0.16980038  	0.04016229  	0.13879038  	0.10528721  	0.10136554  	0.03645108  	0.13447913  	0.06236009  	0.09719237  	0           	0.12575515  	0.06668526  	0.04753097  	0.12555313  	0.03645108  	0.09332517  	0.09399351  	0.03646223  	0.08971494  	
AAA43724                	0.2146506   	0.07117235  	0.13493872  	0.02910171  	0.10677798  	0.10932803  	0.13083079  	0.01449431  	0.12177961  	0.10932803  	0.12575515  	0           	0.11061705  	0.11882703  	0.00718098  	0.13083079  	0.10587852  	0.09956612  	0.13089448  	0.1096686   	
AAU00996                	0.1589958   	0.15839277  	0.07898342  	0.12715394  	0.09037392  	0.085581    	0.07508915  	0.11922139  	0.07052196  	0.085581    	0.06668526  	0.11061705  	0           	0.06720967  	0.11044002  	0.07508915  	0.08570435  	0.08318595  	0.07511784  	0.07801529  	
AEP20404                	0.17557018  	0.15167728  	0.05954634  	0.13553223  	0.09483779  	0.09943472  	0.06363368  	0.12754448  	0.05152077  	0.09943472  	0.04753097  	0.11882703  	0.06720967  	0           	0.11863542  	0.06363368  	0.09561915  	0.08766228  	0.06365667  	0.0877619   	
AAA43725                	0.21427093  	0.07106175  	0.13471926  	0.02905861  	0.10660738  	0.10915504  	0.13061872  	0.01447295  	0.12158431  	0.10915504  	0.12555313  	0.00718098  	0.11044002  	0.11863542  	0           	0.13061872  	0.10571076  	0.09940674  	0.13068215  	0.10949459  	
AER28364                	0.19039501  	0.17114693  	0.01777082  	0.14402114  	0.11014569  	0.1059086   	0.00706873  	0.13561278  	0.063087    	0.10168891  	0.03645108  	0.13083079  	0.07508915  	0.06363368  	0.13061872  	0           	0.0977897   	0.10299096  	0.01419619  	0.09843852  	
AAD29226                	0.18840117  	0.13987608  	0.09912891  	0.12222721  	0.07017523  	0.03601337  	0.0977897   	0.1143696   	0.09095855  	0.02870304  	0.09332517  	0.10587852  	0.08570435  	0.09561915  	0.10571076  	0.0977897   	0           	0.06304212  	0.09783087  	0.03598714  	
AAD29210                	0.18193939  	0.13817038  	0.1085039   	0.12402508  	0.00718271  	0.06320376  	0.10299096  	0.10810885  	0.09953455  	0.06320376  	0.09399351  	0.09956612  	0.08318595  	0.08766228  	0.09940674  	0.10299096  	0.06304212  	0           	0.10713106  	0.05549602  	
