25
AAA43697                	0           	0.22824923  	0.19923608  	0.14043978  	0.2085868   	0.04136744  	0.17280395  	0.22385115  	0.19747371  	0.19767668  	0.1801361   	0.21227552  	0.19292152  	0.11449479  	0.20388313  	0.19387349  	0.19750162  	0.14547484  	0.20625875  	0.19330092  	0.209567    	0.13223605  	0.19599221  	0.17270631  	0.20142789  	
AAA43701                	0.22824923  	0           	0.12263819  	0.15719703  	0.05371211  	0.17815015  	0.12438387  	0.01384977  	0.12052732  	0.08000153  	0.10802584  	0.05370882  	0.11841427  	0.1213921   	0.05572293  	0.11702506  	0.07427816  	0.11016591  	0.02097295  	0.11670393  	0.0502261   	0.11353921  	0.07693178  	0.10520484  	0.05383316  	
AAA43700                	0.19923608  	0.12263819  	0           	0.14097914  	0.10802466  	0.15634529  	0.1073752   	0.11675984  	0.02239847  	0.08672287  	0.06744667  	0.10060984  	0.00510675  	0.10261954  	0.10151992  	0.01898289  	0.09172101  	0.09199504  	0.10390728  	0.01893497  	0.10177137  	0.08575092  	0.08579079  	0.05759397  	0.10064508  	
AAA43699                	0.14043978  	0.15719703  	0.14097914  	0           	0.1534122   	0.10812482  	0.11183495  	0.15316249  	0.14081294  	0.14199292  	0.12570378  	0.14768978  	0.13666279  	0.03326424  	0.14161226  	0.13730741  	0.14115056  	0.08816643  	0.14686477  	0.13692567  	0.14529254  	0.07627908  	0.13836562  	0.11899847  	0.13943405  	
ACM51160                	0.2085868   	0.05371211  	0.10802466  	0.1534122   	0           	0.161711    	0.10583218  	0.04820996  	0.10439067  	0.06464586  	0.09384689  	0.03888363  	0.10233747  	0.11547899  	0.03718857  	0.10090138  	0.05904535  	0.09428137  	0.03520422  	0.10062815  	0.03542467  	0.09765629  	0.06154475  	0.08518861  	0.03535831  	
AAA43698                	0.04136744  	0.17815015  	0.15634529  	0.10812482  	0.161711    	0           	0.12700788  	0.17399814  	0.15460541  	0.15193744  	0.13944351  	0.16327998  	0.15034846  	0.0708602   	0.15526218  	0.15106744  	0.14975733  	0.09925669  	0.15785917  	0.15064007  	0.1608077   	0.08703993  	0.14823656  	0.13253882  	0.15302205  	
ABL77134                	0.17280395  	0.12438387  	0.1073752   	0.11183495  	0.10583218  	0.12700788  	0           	0.11842329  	0.10566226  	0.10287     	0.08824155  	0.10462633  	0.10172719  	0.07446129  	0.1001097   	0.10219612  	0.10225723  	0.07014622  	0.10895156  	0.10192101  	0.10486678  	0.06050086  	0.10117401  	0.08381994  	0.09807725  	
ACJ60864                	0.22385115  	0.01384977  	0.11675984  	0.15316249  	0.04820996  	0.17399814  	0.11842329  	0           	0.11465772  	0.07435198  	0.10206262  	0.04820731  	0.11256329  	0.11749814  	0.05019641  	0.11115459  	0.06866405  	0.10430728  	0.0353231   	0.11085056  	0.04472746  	0.10768479  	0.07126673  	0.09929125  	0.04832145  	
AAA43717                	0.19747371  	0.12052732  	0.02239847  	0.14081294  	0.10439067  	0.15460541  	0.10566226  	0.11465772  	0           	0.08506872  	0.06353467  	0.09698504  	0.01719728  	0.10245399  	0.09786667  	0.00341702  	0.08998251  	0.08635426  	0.10028863  	0.0034085   	0.09816299  	0.08404714  	0.08324745  	0.05584918  	0.0970142   	
ABN50525                	0.19767668  	0.08000153  	0.08672287  	0.14199292  	0.06464586  	0.15193744  	0.10287     	0.07435198  	0.08506872  	0           	0.07583649  	0.06085194  	0.08308298  	0.1033299   	0.0611812   	0.08159052  	0.01723017  	0.08178668  	0.06079977  	0.0813728   	0.05665745  	0.08327871  	0.02272909  	0.07156867  	0.06109721  	
