23
X67013                  	0           	0.11948785  	0.10105477  	0.11346     	0.00210982  	0.11266193  	0.08225828  	0.00776738  	0.11169314  	0.09800309  	0.11672888  	0.00213687  	0.11766862  	0.00705643  	0.09779245  	0.11263854  	0.00776437  	0.11679716  	0.09358856  	0.11081887  	0.09161857  	0.10988106  	0.09554471  	
CY022247                	0.11948785  	0           	0.08369442  	0.05420297  	0.11861246  	0.03389953  	0.07891493  	0.1151952   	0.05419666  	0.07572451  	0.01637113  	0.11411782  	0.01421297  	0.11432683  	0.08297472  	0.05422365  	0.1117974   	0.01493443  	0.08379639  	0.05498036  	0.07667692  	0.02506407  	0.07748306  	
M30639                  	0.10105477  	0.08369442  	0           	0.07407065  	0.10020671  	0.08143687  	0.05991157  	0.09688849  	0.07508361  	0.02912435  	0.08287415  	0.09903575  	0.0821044   	0.09604701  	0.00919723  	0.07358618  	0.09514909  	0.08292399  	0.00991183  	0.07426569  	0.03598109  	0.07965388  	0.03410642  	
AY744297                	0.11346     	0.05420297  	0.07407065  	0           	0.11259471  	0.05199035  	0.07080769  	0.10921295  	0.02839022  	0.06700483  	0.05497575  	0.10981475  	0.05422815  	0.10835451  	0.07013761  	0.01292549  	0.10743498  	0.05345597  	0.07416135  	0.02913968  	0.07100767  	0.05345597  	0.06549869  	
S61093                  	0.00210982  	0.11861246  	0.10020671  	0.11259471  	0           	0.1117974   	0.0814314   	0.00705643  	0.11081887  	0.09715169  	0.11585977  	0.00142354  	0.11679716  	0.00634653  	0.09694877  	0.1117619   	0.00705396  	0.11592726  	0.09275212  	0.10994615  	0.09077374  	0.10902341  	0.09470253  	
CY018583                	0.11266193  	0.03389953  	0.08143687  	0.05199035  	0.1117974   	0           	0.07663116  	0.10841881  	0.05430987  	0.07672358  	0.03092594  	0.10900961  	0.02945897  	0.10756111  	0.08072145  	0.05120534  	0.10664214  	0.02872008  	0.0831866   	0.05509614  	0.07522484  	0.03242581  	0.07523543  	
J02095                  	0.08225828  	0.07891493  	0.05991157  	0.07080769  	0.0814314   	0.07663116  	0           	0.07818226  	0.07250713  	0.05743038  	0.07973692  	0.07978183  	0.07895914  	0.07736163  	0.05680748  	0.07173606  	0.07649936  	0.07978183  	0.05918948  	0.07169538  	0.04745152  	0.07813783  	0.05617742  	
M30632                  	0.00776738  	0.1151952   	0.09688849  	0.10921295  	0.00705643  	0.10841881  	0.07818226  	0           	0.10740215  	0.09381538  	0.11332684  	0.00571008  	0.11339294  	0.00070226  	0.09364681  	0.10833753  	0.00281345  	0.11252843  	0.08947525  	0.10653486  	0.089145    	0.10566701  	0.09140552  	
AY744293                	0.11169314  	0.05419666  	0.07508361  	0.02839022  	0.11081887  	0.05430987  	0.07250713  	0.10740215  	0           	0.07105037  	0.05498036  	0.109075    	0.05579359  	0.10653486  	0.07272302  	0.02619269  	0.10560589  	0.05658047  	0.0735396   	0.00788144  	0.07272302  	0.05500799  	0.06809095  	
JF972554                	0.09800309  	0.07572451  	0.02912435  	0.06700483  	0.09715169  	0.07672358  	0.05743038  	0.09381538  	0.07105037  	0           	0.07982767  	0.09545336  	0.07740626  	0.09297062  	0.02690915  	0.06874633  	0.09207434  	0.0782276   	0.03065941  	0.07023857  	0.03515715  	0.07658631  	0.0307093   	
EU305616                	0.11672888  	0.01637113  	0.08287415  	0.05497575  	0.11585977  	0.03092594  	0.07973692  	0.11332684  	0.05498036  	0.07982767  	0           	0.11310932  	0.01349257  	0.11246311  	0.08215444  	0.05658047  	0.10994406  	0.01421297  	0.08297472  	0.05576532  	0.07914515  	0.02433072  	0.07829782  	
M30631                  	0.00213687  	0.11411782  	0.09903575  	0.10981475  	0.00142354  	0.10900961  	0.07978183  	0.00571008  	0.109075    	0.09545336  	0.11310932  	0           	0.11405058  	0.0049931   	0.09574258  	0.11001331  	0.00570862  	0.11317478  	0.0915038   	0.10820541  	0.09077374  	0.1062245   	0.09262083  	
CY018775                	0.11766862  	0.01421297  	0.0821044   	0.05422815  	0.11679716  	0.02945897  	0.07895914  	0.11339294  	0.05579359  	0.07740626  	0.01349257  	0.11405058  	0           	0.11252843  	0.08138575  	0.05582274  	0.11000801  	0.00352146  	0.08220536  	0.05500799  	0.07672358  	0.02360944  	0.0759041   	
M30633                  	0.00705643  	0.11432683  	0.09604701  	0.10835451  	0.00634653  	0.10756111  	0.07736163  	0.00070226  	0.10653486  	0.09297062  	0.11246311  	0.0049931   	0.11252843  	0           	0.09280964  	0.1074679   	0.00210866  	0.11166545  	0.08864521  	0.10566911  	0.0883038   	0.10481608  	0.09056982  	
CQ903176                	0.09779245  	0.08297472  	0.00919723  	0.07013761  	0.09694877  	0.08072145  	0.05680748  	0.09364681  	0.07272302  	0.02690915  	0.08215444  	0.09574258  	0.08138575  	0.09280964  	0           	0.0704156   	0.09191711  	0.08220536  	0.00920928  	0.07190782  	0.03374472  	0.08056752  	0.03189926  	
AY744295                	0.11263854  	0.05422365  	0.07358618  	0.01292549  	0.1117619   	0.05120534  	0.07173606  	0.10833753  	0.02619269  	0.06874633  	0.05658047  	0.11001331  	0.05582274  	0.1074679   	0.0704156   	0           	0.10653486  	0.05661026  	0.07450208  	0.02694046  	0.07032529  	0.05503649  	0.06489828  	
